title,artist,album
Blitzkrieg Bop,Ramones,Ramones
The Day the World Turned Day-Glo,X-Ray Spex,Germfree Adolescents
History Lesson Pt. 2,Minutemen,Double Nickels on the Dime
White Riot,The Clash,The Clash
Dig Me Out,Sleater-Kinney,Dig Me Out
12XU,Wire,Pink Flag
Anarchy in the U.K.,Sex Pistols,Never Mind the Bollocks Here's the Sex Pistols
T.V. Eye,The Stooges,Fun House
Smells Like Teen Spirit,Nirvana,Nevermind
London Calling,The Clash,London Calling
Rise Above,Black Flag,Damaged
Gloria,Patti Smith,Horses
Something I Learned Today,Hüsker Dü,Zen Arcade
Los Angeles,X,Los Angeles
Personality Crisis,New York Dolls,New York Dolls
Damaged Goods,Gang of Four,Entertainment!
Pay to Cum,Bad Brains,Bad Brains
Ever Fallen in Love (With Someone You Shouldn't've),Buzzcocks,Singles Going Steady
Statement of Vindication,Bikini Kill,Reject All American
Longview,Green Day,Dookie
Marquee Moon,Television,Marquee Moon
Straight Edge,Minor Threat,Complete Discography
Suburban Home,Descendents,Milo Goes to College
That's When I Reach for My Revolver,Mission of Burma,Vs.
Fairytale in the Supermarket,The Raincoats,The Raincoats
Sheena Is a Punk Rocker,Ramones,Rocket to Russia
Final Solution,Pere Ubu,Terminal Tower
Lexicon Devil,The Germs,(GI)
Johnny's Gonna Die,The Replacements,Sorry Ma Forgot to Take Out the Trash
Repeater,Fugazi,Repeater
She's Lost Control,Joy Division,Unknown Pleasures
Kerosene,Big Black,Atomizer
White Light/White Heat,The Velvet Underground,White Light/White Heat
Alternative Ulster,Stiff Little Fingers,Inflammable Material
Where Eagles Dare,The Misfits,Misfits
Cherry Bomb,Bratmobile,Pottymouth
Down in the Tube Station at Midnight,The Jam,All Mod Cons
Blank Generation,Richard Hell and the Voidoids,Blank Generation
Mystery,Turnstile,Glow On
Return of the Rat,The Wipers,Is This Real?
For Want Of,Rites of Spring,Rites of Spring
Drunk II,Mannequin Pussy,Patience
Born to Lose,Johnny Thunders and the Heartbreakers,L.A.M.F.
Typical Girls,The Slits,Cut
21st Century (Digital Boy),Bad Religion,Against the Grain
Maps,Yeah Yeah Yeahs,Fever to Tell
The Classical,The Fall,Hex Enduction Hour
Fagetarian and Dyke,Team Dresch,Personal Best
Roadrunner,The Modern Lovers,The Modern Lovers
Live Fast Die Young,Circle Jerks,Group Sex
Ruby Soho,Rancid,...And Out Come the Wolves
The Sick Bed of Cuchulain,The Pogues,Rum Sodomy & the Lash
Mongoloid,Devo,Q: Are We Not Men? A: We Are Devo!
TV Set,The Cramps,Songs the Lord Taught Us
Sound System,Operation Ivy,Energy
Poptones,Public Image Ltd,Metal Box
Sex Beat,Gun Club,Fire of Love
Ain't You,Liliput,Liliput
You're Blessed,Iceage,New Brigade
Sex Bomb,Flipper,Generic Flipper
True Trans Soul Rebel,Against Me!,Transgender Dysphoria Blues
I Don't Care About You,Fear,The Record
Doom 84,Screaming Females,Ugly
Suspect Device,Stiff Little Fingers,Inflammable Material
Deceptacon,Le Tigre,Le Tigre
Ghost Rider,Suicide,Suicide
Barroom Hero,Dropkick Murphys,Do or Die
Holiday in Cambodia,Dead Kennedys,Fresh Fruit for Rotting Vegetables
Boiling Point,SS Decontrol,The Kids Will Have Their Say
Hard to Be Human,The Mekons,Fear and Whiskey
Gold Chain Punk,Soul Glo,Diaspora Problems
Oi! Oi! Oi!,Cockney Rejects,Greatest Hits Vol. 1
Plateau,Meat Puppets,II
Release the Bats,The Birthday Party,Junkyard
X Offender,Blondie,Blondie
Sonic Reducer,Dead Boys,Young Loud and Snotty
Do They Owe Us a Living?,Crass,The Feeding of the 5000
Dish It Out,The Contortions,Buy
Victim in Pain,Agnostic Front,Victim in Pain
Linoleum,NOFX,Punk in Drublic
Protest and Survive,Discharge,Hear Nothing See Nothing Say Nothing
Pink White House,Priests,Nothing Feels Natural
Dammit,Blink-182,Dude Ranch
My Crotch Does Not Say Go,Frightwig,Cat Farm Faboo
Kick Out the Jams,MC5,Kick Out the Jams
Boxcar,Jawbreaker,24 Hour Revenge Therapy
Nothing,Negative Approach,Tied Down
Mommy's Little Monster,Social Distortion,Mommy's Little Monster
Lights Out,Angry Samoans,Back From Samoa
Neat Neat Neat,The Damned,Damned Damned Damned
Shove,L7,Smell the Magic
Injustice System!,Sick of It All,Blood Sweat and No Tears
Mother,IDLES,Brutalism
Linda Blair,Redd Kross,Born Innocent
Monstro,Downtown Boys,Full Communism
New Noise,Refused,The Shape of Punk to Come
Soldier's Requiem,Naked Raygun,Jettison
In the Black,The Faith,Faith/Void Split
Ignorance,Paramore,Brand New Eyes
Shame,D.R.I.,Dealing With It!
